Date,hold,ton,usd_flow
2026.08.04,1009.3,3.42,450830876.85
2026.08.05,1014.15,4.85,662132012.5
2026.08.06,1014.72,0.57,77827761.9
2026.08.07,1017.54,2.82,393258409.04
2026.08.10,1020.96,3.42,480135930.76
2026.08.11,1022.67,1.71,241232518.26
2026.08.12,1025.81,3.14,444868537.42
2026.08.13,1023.24,-2.57,-360239100.59
2026.08.14,1023.53,0.29,40180269.4
2026.08.17,1030.66,7.13,1013049958.48
2026.08.18,1025.24,-5.42,-760882117.72
2026.08.19,1034.65,9.41,1358872123.89
2026.08.20,1038.93,4.28,621363908.2
2026.08.21,1047.21,8.27,1229969748.93
2026.08.24,1049.49,2.28,340517525.47
2026.08.25,1048.35,-1.14,-170157421.71
2026.08.26,1045.5,-2.85,-421729816.61
2026.08.27,1046.64,1.14,169111369.17
2026.08.28,1042.36,-4.28,-616056126.38
2026.08.31,1042.36,0.0,0.0
2026.09.01,1046.64,4.28,598122576.12
2026.09.02,1056.62,9.98,1401481157.46
2026.09.03,1053.48,-3.14,-453113777.22
2026.09.04,1052.06,-1.43,-203119344.66
2026.09.08,1050.63,-1.43,-201464133.22
2026.09.09,1050.63,0.0,0.0
2026.09.10,1050.28,-0.35,-49466457.39
2026.09.11,1047.42,-2.85,-400373833.96
